type;varietal;food
Beer;Stout;Tete De Moine Cheese
Beer;Porter;Tete De Moine Cheese
Port;Port, Vintage;Tete De Moine Cheese
Dessert Wine;Late Harvest Wines;Tete De Moine Cheese
Red Wine;Hermitage, Red/White;Tete De Moine Cheese
Red Wine;Chateauneuf du Pape, Red;Tete De Moine Cheese
Beer;Ale;Tete De Moine Cheese
Red Wine;Zinfandel;Teriyaki
Rose;Rose;Teriyaki
White Wine;Riesling;Teriyaki
Red Wine;Pinot Noir;Teriyaki
Red Wine;Merlot;Teriyaki
Red Wine;Beaujolais;Teriyaki
Red Wine;Bandol, Red AOC;Teriyaki
Beer;Wheat Beer;Tempura
Sparkling Wine;Sparkling Wine, Brut;Tempura
White Wine;Sauvignon Blanc;Tempura
White Wine;Sancerre;Tempura
Beer;Sake;Tempura
Beer;Lager;Tempura
Sparkling Wine;Champagne;Tempura
White Wine;Chablis;Tempura
White Wine;Sauvignon Blanc;Teleme Cheese
White Wine;Sancerre;Teleme Cheese
Red Wine;Merlot;Teleme Cheese
White Wine;Chardonnay;Teleme Cheese
Red Wine;Cabernet Sauvignon;Teleme Cheese
Beer;Beer;Teleme Cheese
White Wine;Viognier;Tarragon
White Wine;Sauvignon Blanc;Tarragon
Red Wine;Pinot Noir;Tarragon
Red Wine;Merlot;Tarragon
White Wine;Chardonnay, Unoaked;Tarragon
White Wine;Burgundy, White;Tarragon
White Wine;Arneis;Tarragon
Red Wine;Zinfandel;Tapenade
Sherry;Sherry;Tapenade
White Wine;Sauvignon Blanc;Tapenade
Rose;Rose;Tapenade
Sparkling Wine;Champagne, Blanc de blancs;Tapenade
Sparkling Wine;Cava;Tapas Grilled
White Wine;Sauvignon Blanc;Tapas
Rose;Rioja, Rose;Tapas
Sparkling Wine;Cava;Tapas
Beer;Saison;Tandoori Chicken
Beer;Belgian Ale;Tandoori Chicken
Beer;American Pale Ale;Tandoori Chicken
Red Wine;Zinfandel;Tandoori
White Wine;Gewurztraminer;Tandoori
Beer;Beer;Tandoori
Red Wine;Nebbiolo;Taleggio Cheese
Dessert Wine;Muscat, Rivesaltes;Taleggio Cheese
Red Wine;Chianti Riserva DOCG;Taleggio Cheese
Red Wine;Brunello di Montalcino (DOCG);Taleggio Cheese
Red Wine;Barolo;Taleggio Cheese
Red Wine;Barbaresco DOCG;Taleggio Cheese
Rose;Rose;Tagine Chicken
White Wine;Pinot Gris;Tagine Chicken
White Wine;Torrontes;Tacos Chicken
Sparkling Wine;Sparkling Wine;Tacos Chicken
White Wine;Sauvignon Blanc;Tacos Chicken
Rose;Rose;Tacos Chicken
White Wine;Riesling;Tacos Chicken
Dessert Wine;Moscato d'Asti;Tacos Chicken
Red Wine;Zinfandel;Tacos Beef
Red Wine;Tempranillo;Tacos Beef
Red Wine;Syrah;Tacos Beef
Red Wine;Merlot;Tacos Beef
Red Wine;Cabernet Sauvignon;Tacos Beef
Red Wine;Cotes du Rhone, Red;Tacos Beef
Beer;Beer;Tacos Beef
Red Wine;Zinfandel;Tacos Bean
Red Wine;Syrah;Tacos Bean
Red Wine;Zinfandel;Tacos
Red Wine;Syrah;Tacos
Red Wine;Pinot Noir;Tacos
Beer;Pilsner;Tacos
White Wine;Sauvignon Blanc;Tabbouleh
Rose;Rose;Tabbouleh
Red Wine;Pinot Noir;Tabbouleh
White Wine;Vinho Verde;Tabasco
Sparkling Wine;Sparkling Wine;Tabasco
Red Wine;Pinot Noir;Tabasco
Beer;Beer;Tabasco
Sparkling Wine;Sparkling Wine;Szechuan Food
White Wine;Spatlese Riesling;Szechuan Food
Rose;Rose;Szechuan Food
White Wine;Riesling, Auslese;Szechuan Food
White Wine;Riesling;Szechuan Food
White Wine;Gewurztraminer;Szechuan Food
Beer;Beer;Szechuan Food
Red Wine;Beaujolais;Szechuan Food
Red Wine;Syrah;Swordfish with Peppercorn Crust
Red Wine;Shiraz;Swordfish with Peppercorn Crust
White Wine;Gruner Veltliner;Swordfish with Peppercorn Crust
Red Wine;Cabernet Sauvignon;Swordfish with Peppercorn Crust
White Wine;Sauvignon Blanc;Swordfish with Lemon Butter Sauce
White Wine;Sancerre;Swordfish with Lemon Butter Sauce
White Wine;Chablis Premier Cru;Swordfish with Lemon Butter Sauce
Red Wine;Petite Syrah;Swordfish with Black Pepper
Red Wine;Cabernet Sauvignon;Swordfish with Black Pepper
Red Wine;Zinfandel;Swordfish with bacon
White Wine;Sauvignon Blanc;Swordfish with bacon
White Wine;Sauvignon Blanc;Swordfish Roasted
White Wine;Chardonnay;Swordfish Roasted
White Wine;Semillon;Swordfish Grilled
White Wine;Chardonnay;Swordfish Grilled
Red Wine;Burgundy, Red;Swordfish Grilled
White Wine;Chardonnay;Swordfish Broiled
White Wine;Burgundy, White;Swordfish Broiled
White Wine;Chardonnay;Swordfish Baked
White Wine;Burgundy, White;Swordfish Baked
White Wine;Semillon;Swordfish
White Wine;Sauvignon Blanc;Swordfish
White Wine;Sancerre;Swordfish
White Wine;Riesling;Swordfish
Red Wine;Pinot Noir;Swordfish
White Wine;Chardonnay;Swordfish
Sparkling Wine;Champagne;Swordfish
Red Wine;Cabernet Sauvignon;Swordfish
White Wine;Burgundy, White;Swordfish
Red Wine;Burgundy, Red;Swordfish
Red Wine;Rhone, Red Wine;Swiss Cheese
Red Wine;Pinot Noir;Swiss Cheese
White Wine;Pinot Gris, Alsace;Swiss Cheese
White Wine;Gewurztraminer;Swiss Cheese
White Wine;Sauvignon Blanc;Swiss Chard
White Wine;Vouvray;Sweeter Curry Dishes
White Wine;Chardonnay;Sweetbreads with Mustard
White Wine;Spatlese Riesling;Sweetbreads
Sherry;Sherry, Oloroso;Sweetbreads
White Wine;Sauvignon Blanc;Sweetbreads
Rose;Rose;Sweetbreads
White Wine;Riesling;Sweetbreads
Red Wine;Pinot Noir;Sweetbreads
White Wine;Gewurztraminer, Alsace;Sweetbreads
Red Wine;Chianti DOCG;Sweetbreads
White Wine;Chardonnay;Sweetbreads
Sparkling Wine;Champagne;Sweetbreads
White Wine;Burgundy, White;Sweetbreads
Red Wine;Burgundy, Red;Sweetbreads
Red Wine;Bordeaux AOC Red;Sweetbreads
Red Wine;Beaujolais;Sweetbreads
White Wine;Viognier;Sweet Potatoes
White Wine;Riesling;Sweet Potatoes
White Wine;Gewurztraminer;Sweet Potatoes
White Wine;Chardonnay;Sweet Potatoes
White Wine;Viognier;Sweet Potato Soup
Sparkling Wine;Sparkling Wine;Sweet Potato Soup
White Wine;Riesling;Sweet Potato Soup
White Wine;Gewurztraminer;Sweet Potato Soup
White Wine;Chardonnay;Sweet Potato Soup
White Wine;Riesling;Sweet and Sour Chicken
White Wine;Gewurztraminer, Alsace;Sweet and Sour Chicken
Red Wine;Zinfandel;Sushi Tuna
Sparkling Wine;Sparkling Wine;Sushi Tuna
White Wine;Chardonnay;Sushi Tuna
Sparkling Wine;Sparkling Wine;Sushi Sweet Shrimp
White Wine;Muscadet;Sushi Squid
White Wine;Chenin Blanc;Sushi Scallops
Red Wine;Pinot Noir;Sushi Salmon
White Wine;Kabinett Riesling;Sushi Salmon
White Wine;Chenin Blanc;Sushi Salmon
White Wine;Sauvignon Blanc;Sushi Mackerel
Red Wine;Zinfandel;Sushi Eel
White Wine;Riesling;Sushi Eel
White Wine;Gewurztraminer;Sushi Eel
Red Wine;Amarone;Sushi Eel
White Wine;Chenin Blanc;Sushi Crab
Tea;Tea, Green;Sushi
Sparkling Wine;Sparkling Wine;Sushi
White Wine;Soave (Superiore);Sushi
White Wine;Sauvignon Blanc;Sushi
Beer;Sake;Sushi
White Wine;Riesling;Sushi
White Wine;Pinot Grigio;Sushi
Tea;Oolong;Sushi
White Wine;Muscadet;Sushi
White Wine;Kabinett Riesling;Sushi
White Wine;Chardonnay, Unoaked;Sushi
Sparkling Wine;Champagne;Sushi
White Wine;Chablis;Sushi
White Wine;Burgundy, White;Sushi
Red Wine;Burgundy, Red;Sushi
Beer;Ale;Sushi
White Wine;Albarino;Sushi
White Wine;Sauvignon Blanc;Sun Dried Tomatoes
White Wine;Sancerre;Sun Dried Tomatoes
White Wine;Pouilly Fume;Sun Dried Tomatoes
White Wine;Viognier;Striped Bass
White Wine;Sauvignon Blanc;Striped Bass
White Wine;Pinot Gris;Striped Bass
White Wine;Pinot Grigio;Striped Bass
White Wine;Pinot Blanc;Striped Bass
White Wine;Chardonnay;Striped Bass
White Wine;Burgundy, White;Striped Bass
White Wine;Vouvray;Strawberry Shortcake
Sparkling Wine;Sparkling Wine, Rose;Strawberry Shortcake
Sparkling Wine;Sparkling Wine;Strawberry Shortcake
Sparkling Wine;Sparkling Wine, Rose;Strawberry Desserts
Dessert Wine;Sauternes;Strawberry Desserts
Port;Port, Tawny;Strawberry Desserts
Port;Port, Ruby;Strawberry Desserts
Dessert Wine;Muscat, Black;Strawberry Desserts
Dessert Wine;Muscat de Beaumes-de-Venise;Strawberry Desserts
Dessert Wine;Moscato d'Asti;Strawberry Desserts
Sparkling Wine;Champagne, Rose;Strawberry Desserts
Red Wine;Beaujolais;Strawberry Desserts
Dessert Wine;Banyuls;Strawberry Desserts
White Wine;White Zinfandel;Strawberries
White Wine;Viognier;Strawberries
Sparkling Wine;Sparkling Wine, Rose;Strawberries
Dessert Wine;Sauternes;Strawberries
White Wine;Riesling;Strawberries
Port;Port, Tawny;Strawberries
Port;Port, Ruby;Strawberries
Red Wine;Pinot Noir;Strawberries
Dessert Wine;Muscat, Black;Strawberries
Dessert Wine;Muscat de Beaumes-de-Venise;Strawberries
Dessert Wine;Moscato d'Asti;Strawberries
Red Wine;Gamay;Strawberries
Sparkling Wine;Champagne, Rose;Strawberries
Red Wine;Beaujolais;Strawberries
Dessert Wine;Banyuls;Strawberries
White Wine;Riesling;Stir Fried Chicken
Beer;Pilsner;Stir Fried Chicken
Beer;Lager;Stir Fried Chicken
White Wine;Gewurztraminer;Stir Fried Chicken
Red Wine;Syrah;Stir Fried Asian Style with Teriyaki-style Beef
Red Wine;Shiraz;Stir Fried Asian Style with Teriyaki-style Beef
Red Wine;Pinot Noir;Stir Fried Asian Style with Orange
Red Wine;Pinot Noir;Stir Fried Asian Style with Orange
Red Wine;Zinfandel;Stilton Cheese
Tea;Tea, Lapsang Souchong, Wuyi, China;Stilton Cheese
Sherry;Sherry;Stilton Cheese
Beer;Russian Imperial Stout;Stilton Cheese
Dessert Wine;Riesling, Late Harvest;Stilton Cheese
Red Wine;Rhone, Red Wine;Stilton Cheese
Port;Port, Vintage;Stilton Cheese
Port;Port, Tawny;Stilton Cheese
Beer;Old Ale;Stilton Cheese
Other;Mead;Stilton Cheese
Fortified Wine;Madeira;Stilton Cheese
Beer;India Pale Ale - IPA;Stilton Cheese
Dessert Wine;Ice Wine;Stilton Cheese
Beer;British Strong Ale;Stilton Cheese
Red Wine;Bordeaux AOC Red;Stilton Cheese
Beer;Belgian Beer;Stilton Cheese
Red Wine;Barolo;Stilton Cheese
Beer;Barley Wine;Stilton Cheese
Beer;Barley Wine;Stilton Cheese
Red Wine;Barbaresco DOCG;Stilton Cheese
Red Wine;Amarone;Stilton Cheese
White Wine;Sauvignon Blanc;Stewed Fish
Rose;Rose;Stewed Fish
White Wine;White Wine;Stewed Chicken
Red Wine;Syrah;Stew
Red Wine;Shiraz;Stew
Sherry;Sherry, Amontillado;Stew
Red Wine;Gigondas;Stew
White Wine;Gewurztraminer;Stew
Red Wine;Chateauneuf du Pape, Red;Stew
Red Wine;Beaujolais;Stew
Red Wine;Barolo;Stew
Sparkling Wine;Sparkling Wine, Dry;Steamed Fish
White Wine;Sauvignon Blanc;Steamed Fish
White Wine;Muscadet;Steamed Fish
Sparkling Wine;Champagne, Dry;Steamed Fish
Red Wine;Shiraz;Steak with Mustard
Red Wine;Grenache;Steak with Mustard
Red Wine;Cotes du Rhone, Red;Steak with Mustard
Red Wine;Zinfandel;Steak with Black Pepper
Red Wine;Syrah;Steak with Black Pepper
Red Wine;Shiraz;Steak with Black Pepper
Red Wine;Saint-emilion AOC;Steak with Black Pepper
Red Wine;Rhone, Red Wine;Steak with Black Pepper
Red Wine;Pinot Noir;Steak with Black Pepper
Red Wine;Petite Sirah;Steak with Black Pepper
Red Wine;Merlot;Steak with Black Pepper
Red Wine;Hermitage, Red;Steak with Black Pepper
Red Wine;Grenache;Steak with Black Pepper
Red Wine;Chateauneuf du Pape, Red;Steak with Black Pepper
Red Wine;Cabernet Sauvignon;Steak with Black Pepper
Red Wine;Cote Rotie (AOC);Steak with Black Pepper
Red Wine;Barolo;Steak with Black Pepper
Red Wine;Merlot;Steak Well Done
Red Wine;Gamay;Steak Well Done
Red Wine;Beaujolais;Steak Well Done
Liquor;Vodka;Steak Tartare
White Wine;Sauvignon Blanc;Steak Tartare
Red Wine;Sangiovese;Steak Tartare
Rose;Rose;Steak Tartare
Red Wine;Pinot Noir;Steak Tartare
Red Wine;Merlot;Steak Tartare
Red Wine;Dolcetto;Steak Tartare
Red Wine;Chianti Classico DOCG;Steak Tartare
White Wine;Chablis;Steak Tartare
Red Wine;Cabernet Sauvignon;Steak Tartare
Red Wine;Burgundy, Red;Steak Tartare
Red Wine;Brunello di Montalcino (DOCG);Steak Tartare
Red Wine;Bordeaux AOC Red;Steak Tartare
Red Wine;Beaujolais;Steak Tartare
Red Wine;Beaujolais;Steak Tartare
Red Wine;Zinfandel;Steak Sirloin
Red Wine;Shiraz;Steak Sirloin
Red Wine;Merlot;Steak Sirloin
Red Wine;Hermitage, Red;Steak Sirloin
Red Wine;Chianti Classico DOCG;Steak Sirloin
Red Wine;Cabernet Sauvignon;Steak Sirloin
Red Wine;Bordeaux AOC Red;Steak Sirloin
Red Wine;Barolo;Steak Sirloin
Red Wine;Zinfandel;Steak Rib Eye
Red Wine;Syrah;Steak Rib Eye
Red Wine;Sangiovese;Steak Rib Eye
Red Wine;Rioja, Red;Steak Rib Eye
Red Wine;Merlot;Steak Rib Eye
Red Wine;Cabernet Sauvignon;Steak Rib Eye
Red Wine;Grenache;Steak Rare
Red Wine;Cabernet Sauvignon;Steak Rare
Red Wine;Burgundy, Red;Steak Rare
Red Wine;Bordeaux AOC Red;Steak Rare
Red Wine;Saint-emilion AOC;Steak Porterhouse
Red Wine;Chianti DOCG;Steak Porterhouse
Red Wine;Cabernet Sauvignon;Steak Porterhouse
Red Wine;Barbera DOC;Steak Porterhouse
Red Wine;Shiraz;Steak New York Strip
Red Wine;Petite Sirah;Steak New York Strip
Red Wine;Merlot;Steak New York Strip
Red Wine;Hermitage, Red;Steak New York Strip
Red Wine;Cabernet Sauvignon;Steak New York Strip
Red Wine;Burgundy, Red;Steak New York Strip
Red Wine;Bordeaux AOC Red;Steak New York Strip
Red Wine;Merlot;Steak Medium Well
Red Wine;Gamay;Steak Medium Well
Red Wine;Beaujolais;Steak Medium Well
Red Wine;Grenache;Steak Medium Rare
Red Wine;Cabernet Sauvignon;Steak Medium Rare
Red Wine;Burgundy, Red;Steak Medium Rare
Red Wine;Bordeaux AOC Red;Steak Medium Rare
Red Wine;Beaujolais;Steak Hanger
Red Wine;Merlot;Steak Ground
Red Wine;Zinfandel;Steak Grilled
Red Wine;Syrah;Steak Grilled
Red Wine;Shiraz;Steak Grilled
Red Wine;Sangiovese;Steak Grilled
Red Wine;Ripasso Valpolicella;Steak Grilled
Red Wine;Petite Sirah;Steak Grilled
Red Wine;Montefalco Roseo DOC;Steak Grilled
Red Wine;Monastrell;Steak Grilled
Red Wine;Merlot;Steak Grilled
Red Wine;Chianti DOCG;Steak Grilled
Red Wine;Cabernet Sauvignon;Steak Grilled
Red Wine;Brunello di Montalcino (DOCG);Steak Grilled
Beer;Amber Ale;Steak Grilled
Red Wine;Cabernet Sauvignon;Steak Frites
Red Wine;Beaujolais;Steak Frites
Red Wine;Syrah;Steak Flank
Red Wine;Shiraz;Steak Flank
Red Wine;Nebbiolo;Steak Flank
Red Wine;Merlot;Steak Flank
Red Wine;Dolcetto;Steak Flank
Red Wine;Chianti DOCG;Steak Flank
Red Wine;Cotes du Rhone, Red;Steak Flank
Red Wine;Beaujolais;Steak Flank
Red Wine;Zinfandel;Steak Filet Mignon
Red Wine;Super Tuscan;Steak Filet Mignon
Red Wine;Shiraz;Steak Filet Mignon
Red Wine;Pinot Noir;Steak Filet Mignon
Red Wine;Merlot;Steak Filet Mignon
Red Wine;Chianti DOCG;Steak Filet Mignon
Red Wine;Cabernet Sauvignon;Steak Filet Mignon
Red Wine;Cabernet Franc;Steak Filet Mignon
Red Wine;Burgundy, Red;Steak Filet Mignon
Red Wine;Bordeaux AOC Red;Steak Filet Mignon
Red Wine;Pinot Noir;Steak Cold
Beer;Beer;Steak Cold
Red Wine;Beaujolais;Steak Cold
White Wine;White Zinfandel;Steak Chicken Fried
Red Wine;Merlot;Steak Chicken Fried
Red Wine;Cabernet Sauvignon;Steak Chicken Fried
Beer;Beer;Steak Chicken Fried
Red Wine;Sangiovese;Steak Bistecca Alla Florentina
Red Wine;Montepulciano;Steak Bistecca Alla Florentina
Red Wine;Chianti Classico, Riserva DOCG;Steak Bistecca Alla Florentina
Red Wine;Brunello di Montalcino (DOCG);Steak Bistecca Alla Florentina
Red Wine;Shiraz;Steak and Mushrooms
Red Wine;Cabernet Sauvignon;Steak and Mushrooms
Red Wine;Burgundy, Red;Steak and Mushrooms
Red Wine;Bordeaux AOC Red;Steak and Mushrooms
Red Wine;Barolo;Steak and Mushrooms
Red Wine;Barbaresco DOCG;Steak and Mushrooms
Red Wine;Zinfandel;Steak
Red Wine;Syrah;Steak
Beer;Stout;Steak
Red Wine;Shiraz;Steak
Red Wine;Rhone, Red Wine;Steak
Beer;Porter;Steak
Red Wine;Merlot;Steak
Red Wine;Malbec;Steak
Beer;English Brown Ale;Steak
Beer;Dark Ale;Steak
Red Wine;Chianti Classico, Riserva DOCG;Steak
Red Wine;Cabernet Sauvignon;Steak
Red Wine;Cotes du Rhone, Red;Steak
Red Wine;Burgundy, Red;Steak
Red Wine;Brunello di Montalcino (DOCG);Steak
Liquor;Bourbon and Bourbon Cocktails;Steak
Red Wine;Bordeaux AOC Red;Steak
Red Wine;Beaujolais;Steak
Red Wine;Barolo;Steak
Red Wine;Barbaresco DOCG;Steak
White Wine;Gavi/Cortese di Gavi (DOCG);Squid Stuffed
Beer;Wheat Beer;Squid Fried
White Wine;Vinho Verde;Squid Fried
White Wine;Vermentino;Squid Fried
White Wine;Trebbiano;Squid Fried
Sparkling Wine;Sparkling Wine;Squid Fried
White Wine;Sancerre;Squid Fried
Rose;Rose;Squid Fried
Sparkling Wine;Prosecco;Squid Fried
White Wine;Pinot Grigio;Squid Fried
White Wine;Gewurztraminer;Squid Fried
Sparkling Wine;Champagne;Squid Fried
Sparkling Wine;Cava;Squid Fried
White Wine;Verdicchio;Squid
White Wine;Soave (Superiore);Squid
White Wine;Macon, White;Squid
Red Wine;Beaujolais;Squid
White Wine;Albarino;Squid
White Wine;Viognier;Squash Soup
Sparkling Wine;Sparkling Wine;Squash Soup
White Wine;Rieslaner;Squash Soup
White Wine;Gewurztraminer;Squash Soup
White Wine;Chardonnay;Squash Soup
Red Wine;Syrah;Squab Roasted
Red Wine;Shiraz;Squab Roasted
Red Wine;Pinot Noir;Squab Roasted
Red Wine;Cabernet Sauvignon;Squab Roasted
Red Wine;Zinfandel;Squab
Red Wine;Sangiovese;Squab
Red Wine;Rioja, Red;Squab
Red Wine;Pinot Noir;Squab
Red Wine;Crozes Hermitage, Red;Squab
Sparkling Wine;Champagne, Rose;Squab
Red Wine;Cabernet Sauvignon;Squab
Red Wine;Bordeaux AOC Red;Squab
Red Wine;Beaujolais;Squab
Red Wine;Barbaresco DOCG;Squab
White Wine;Verdicchio;Spinach Salad
Sparkling Wine;Sparkling Wine;Spinach Salad
White Wine;Soave (Superiore);Spinach Salad
White Wine;Sauvignon Blanc;Spinach Salad
Red Wine;Pinot Noir;Spinach Salad
Red Wine;Merlot;Spinach Salad
White Wine;Chardonnay, Unoaked;Spinach Salad
White Wine;Sauvignon Blanc;Spinach and Feta Cheese Pastry
White Wine;Gruner Veltliner;Spinach and Feta Cheese Pastry
Red Wine;Dolcetto d'Alba Superiore DOC;Spinach and Feta Cheese Pastry
Red Wine;Dolcetto d'Alba DOC;Spinach and Feta Cheese Pastry
White Wine;Soave (Superiore);Spinach
White Wine;Semillon;Spinach
White Wine;Sauvignon Blanc;Spinach
Red Wine;Pinot Noir;Spinach
White Wine;Pinot Grigio;Spinach
White Wine;Chardonnay, Unoaked;Spinach
Red Wine;Beaujolais;Spinach
Red Wine;Zinfandel;Spicey Sausage
Red Wine;Syrah;Spicey Sausage
Red Wine;Shiraz;Spicey Sausage
Red Wine;Rioja, Red;Spicey Sausage
White Wine;Riesling;Spicey Sausage
White Wine;Pinot Gris;Spicey Sausage
Red Wine;Montepulciano;Spicey Sausage
Red Wine;Mencia;Spicey Sausage
Red Wine;Dolcetto;Spicey Sausage
Red Wine;Chianti DOCG;Spicey Sausage
White Wine;Chablis;Spicey Sausage
Red Wine;Beaujolais;Spicey Sausage
Red Wine;Bandol, Red AOC;Spicey Sausage
Red Wine;Merlot;Spicey Curry Dishes
Dessert Wine;Vin Santo;Spice Cake
Port;Port, Tawny;Spice Cake
Dessert Wine;Muscat;Spice Cake
Beer;Belgian Beer;Spice Cake
White Wine;Riesling;Spaghetti Squash
White Wine;Gewurztraminer;Spaghetti Squash
Red Wine;Chianti DOCG;Spaghetti and Meatballs
Red Wine;Zinfandel;Soy Sauce
Sparkling Wine;Sparkling Wine;Soy Sauce
White Wine;Sauvignon Blanc;Soy Sauce
Beer;Sake;Soy Sauce
Rose;Rose;Soy Sauce
White Wine;Riesling;Soy Sauce
Red Wine;Pinot Noir;Soy Sauce
White Wine;Gewurztraminer;Soy Sauce
White Wine;Chardonnay, Unoaked;Soy Sauce
White Wine;Chablis;Soy Sauce
Beer;Beer;Soy Sauce
Red Wine;Beaujolais;Soy Sauce
Red Wine;Zinfandel;Southwestern Cuisine
White Wine;Sauvignon Blanc;Southwestern Cuisine
Red Wine;Rioja, Red;Southwestern Cuisine
Red Wine;Pinot Noir;Southwestern Cuisine
White Wine;Gewurztraminer;Southwestern Cuisine
Red Wine;Cabernet Sauvignon;Southwestern Cuisine
Red Wine;Bordeaux AOC Red;Southwestern Cuisine
Sherry;Sherry, Dry;Soup
Sparkling Wine;Sparkling Wine;Souffle Sweet
Dessert Wine;Sauternes;Souffle Sweet
White Wine;Riesling;Souffle Sweet
Dessert Wine;Muscat;Souffle Sweet
Dessert Wine;Moscato d'Asti;Souffle Sweet
Fortified Wine;Madeira, Malmsey;Souffle Sweet
Fortified Wine;Madeira, Bual;Souffle Sweet
Sparkling Wine;Champagne;Souffle Sweet
Dessert Wine;Banyuls;Souffle Sweet
Liquor;Vermouth, Dry;Sorrel
White Wine;Sauvignon Blanc;Sorrel
White Wine;Riesling;Sorrel
White Wine;Gruner Veltliner;Sorrel
White Wine;Chardonnay, Unoaked;Sorrel
Sparkling Wine;Champagne, Rose;Sorrel
Sparkling Wine;Sparkling Wine;Sorbet
Dessert Wine;Moscato d'Asti;Sorbet
Beer;Lager;Sole with Lemon Butter Sauce
White Wine;Chardonnay;Sole with Lemon Butter Sauce
Beer;Ale;Sole with Lemon Butter Sauce
White Wine;Chardonnay;Sole with a Cream Sauce
White Wine;Viognier;Sole Sauteed
White Wine;Chardonnay;Sole Sauteed
White Wine;Riesling, Alsace;Sole Grilled
White Wine;Riesling;Sole Grilled
White Wine;Kabinett Riesling;Sole Grilled
White Wine;Burgundy, White;Sole Grilled
White Wine;Burgundy, White;Sole Fried
White Wine;Semillon;Sole Dover
White Wine;Sauvignon Blanc;Sole Dover
White Wine;Meursault;Sole Dover
White Wine;Chassagne Montrachet, White;Sole Dover
White Wine;Chardonnay;Sole Dover
White Wine;Chablis;Sole Dover
White Wine;Burgundy, White;Sole Dover
White Wine;Viognier;Sole
Red Wine;Tempranillo;Sole
Sparkling Wine;Sparkling Wine;Sole
White Wine;Soave (Superiore);Sole
White Wine;Sauvignon Blanc;Sole
White Wine;Sancerre;Sole
White Wine;Riesling, Alsace;Sole
White Wine;Riesling;Sole
White Wine;Pouilly Fume;Sole
White Wine;Pinot Grigio;Sole
White Wine;Pinot Bianco;Sole
White Wine;Kabinett Riesling;Sole
White Wine;Chardonnay, Unoaked;Sole
White Wine;Chardonnay;Sole
White Wine;Chablis;Sole
White Wine;Burgundy, White;Sole
Beer;American Wheat Beer;Sole
White Wine;Viognier;Soba Noodles
Tea;Tea;Soba Noodles
Beer;Sake;Soba Noodles
White Wine;Riesling;Soba Noodles
White Wine;Gewurztraminer;Soba Noodles
White Wine;Sylvaner;Snails
Sparkling Wine;Sparkling Wine;Snails
Sherry;Sherry, Amontillado;Snails
White Wine;Sauvignon Blanc;Snails
Rose;Rose;Snails
White Wine;Riesling;Snails
Sparkling Wine;Prosecco;Snails
White Wine;Pouilly Fume;Snails
Sparkling Wine;Champagne;Snails
White Wine;Chablis;Snails
White Wine;Burgundy, White;Snails
Sparkling Wine;Sparkling Wine;Smoked Salmon and Cream Cheese Bagel
White Wine;Pinot Grigio;Smoked Salmon and Cream Cheese Bagel
Sparkling Wine;Champagne;Smoked Salmon and Cream Cheese Bagel
White Wine;Burgundy, White;Smoked Duck
Red Wine;Burgundy, Red;Smoked Duck
Liquor;Whiskey and Whiskey Based Drinks;Smoked Cheese
Beer;Smoked Beer;Smoked Cheese
Red Wine;Shiraz;Smoked Cheese
White Wine;Muscat;Smoked Cheese
